Distance_(pixels),Gray_Value
1706,2580.655
1707,2659.427
1708,2594.577
1709,2464.503
1710,2362.680
1711,2516.695
1712,2560.959
1713,2228.060
1714,1867.716
1715,1679.282
1716,1777.204
1717,1920.669
1718,1975.816
1719,1849.635
1720,1798.755
1721,1836.321
1722,1844.420
1723,1828.807
1724,1829.567
1725,1791.239
1726,1731.295
1727,1837.698
1728,1953.819
1729,1952.338
1730,1851.006
1731,1854.898
1732,1870.270
1733,1968.488
1734,2347.598
1735,2738.749
1736,2491.307
1737,1865.480
1738,1569.478
1739,1531.418
1740,1691.445
1741,1987.396
1742,2135.339
1743,2052.521
1744,1987.163
1745,2008.893
1746,1949.677
1747,1903.237
1748,1911.893
1749,2023.396
1750,2123.366
1751,2263.106
1752,2411.061
1753,2148.603
1754,1720.518
1755,1495.030
1756,1466.301
1757,1487.862
1758,1544.047
1759,1665.421
1760,1868.368
1761,2058.729
1762,2114.751
1763,2002.331
1764,1793.625
1765,1831.149
1766,1955.434
1767,2007.590
1768,1927.521
1769,1854.221
1770,1831.547
1771,1819.516
1772,1814.493
1773,1934.916
1774,2100.009
1775,2211.000
1776,2023.220
1777,1823.021
1778,1800.699
1779,1744.501
1780,1597.372
1781,1743.059
1782,2226.875
1783,2445.219
1784,2299.824
1785,2188.592
1786,2140.060
1787,2220.567
1788,2297.825
1789,2463.317
1790,2553.314
1791,2573.946
1792,2496.794
1793,2231.928
1794,1976.178
1795,1751.342
1796,1663.239
1797,1686.940
1798,1689.941
1799,1643.755
1800,1616.553
1801,1574.811
1802,1753.947
1803,2168.384
1804,2574.790
1805,2648.268
1806,2361.051
1807,2068.062
1808,1988.452
1809,1842.826
1810,1786.909
1811,1628.172
1812,1494.875
1813,1597.361
1814,1844.815
1815,2012.497
1816,1966.043
1817,1900.872
1818,1853.520
1819,1781.247
1820,1812.972
1821,1829.145
1822,1789.018
1823,1562.201
1824,1418.607
1825,1386.282
1826,1324.392
1827,1403.580
1828,1713.930
1829,1916.309
1830,1961.887
1831,1988.888
1832,2031.852
1833,2077.724
1834,2169.079
1835,2247.221
1836,2245.847
1837,2130.660
1838,1920.920
1839,1625.535
1840,1534.270
1841,1943.453
1842,2453.566
1843,2450.010
1844,2067.765
1845,1862.422
1846,1840.400
1847,1798.000
1848,1789.854
1849,1776.095
1850,1836.710
1851,1763.030
1852,1592.865
1853,1451.214
1854,1335.568
1855,1308.042
1856,1340.893
1857,1345.451
1858,1415.674
1859,1549.741
1860,1710.680
1861,1769.746
1862,1852.510
1863,1899.083
1864,1943.502
1865,2001.143
