"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         254,      -8.532403753,      -6.460642783,      -6.803886069,      -2.508810008
          0,           0,         255,      -8.536344808,      -6.469740512,      -6.806639787,      -2.512754439
          0,           0,         256,      -8.542310819,      -6.478086026,      -6.811772556,      -2.518723982
          0,           0,         257,      -8.550296164,      -6.485791361,      -6.819248556,      -2.526712987
          0,           0,         258,       -8.56029582,      -6.492988471,      -6.829045092,      -2.536716454
          0,           0,         259,       -8.57230729,       -6.49981625,      -6.841152473,        -2.5487319
          0,           0,         260,      -8.586332416,      -6.506411538,      -6.855574245,      -2.562761118
          0,           0,         261,      -8.602373333,      -6.512917674,       -6.87232773,      -2.578806296
          0,           0,         262,      -8.620437315,      -6.519470863,      -6.891442479,      -2.596874727
          0,           0,         263,      -8.640529429,      -6.526191373,      -6.912960962,      -2.616971469
          0,           0,         264,      -8.662656821,      -6.533198016,      -6.936936788,      -2.639103702
          0,           0,         265,      -8.686808916,      -6.540580575,      -6.963432112,      -2.663260844
          0,           0,         266,      -8.712966188,      -6.548426934,      -6.992511525,       -2.68942337
          0,           0,         267,      -8.741084221,      -6.556812894,      -7.024234957,      -2.717546862
          0,           0,         268,      -8.771062483,      -6.565784525,      -7.058642515,      -2.747530677
          0,           0,         269,      -8.802742255,      -6.575391129,       -7.09572845,      -2.779216002
          0,           0,         270,      -8.835871666,      -6.585674136,      -7.135400022,      -2.812350827
          0,           0,         271,      -8.870018734,      -6.596631617,      -7.177406606,       -2.84650279
          0,           0,         272,      -8.904608015,      -6.608291819,      -7.221231596,      -2.881096035
          0,           0,         273,      -8.938779148,      -6.620645731,      -7.265937612,      -2.915269587
          0,           0,         274,      -8.971395881,      -6.633675109,      -7.309964576,      -2.947886434
          0,           0,         275,       -9.00109767,      -6.647363913,      -7.350965941,      -2.977585284
          0,           0,         276,      -9.026347909,      -6.661655012,      -7.385861611,      -3.002828874
          0,           0,         277,      -9.045816983,      -6.676514002,      -7.411368862,      -3.022287735
          0,           0,         278,      -9.058592839,      -6.691865764,        -7.4250924,       -3.03505057
          0,           0,         279,      -9.064552602,      -6.707647166,      -7.426618905,      -3.040996085
          0,           0,         280,      -9.064298412,      -6.723751652,      -7.417727731,      -3.040728039
          0,           0,         281,       -9.05907154,      -6.740084378,      -7.401523771,       -3.03548908
          0,           0,         282,       -9.05035415,      -6.756527747,      -7.381250968,      -3.026762097
          0,           0,         283,      -9.039572808,      -6.772935657,      -7.359544648,      -3.015973731
          0,           0,         284,      -9.027996378,      -6.789198408,       -7.33823484,      -3.004392723
          0,           0,         285,      -9.016562872,      -6.805163467,      -7.318461321,      -2.992956651
          0,           0,         286,      -9.005945403,      -6.820670921,      -7.300871475,      -2.982338154
          0,           0,         287,      -8.996656214,      -6.835628699,      -7.285796719,      -2.973049204
          0,           0,         288,      -8.988973779,       -6.84987936,      -7.273377715,      -2.965367896
          0,           0,         289,      -8.983108359,      -6.863341785,      -7.263645596,      -2.959504292
          0,           0,         290,      -8.979157045,      -6.875912653,      -7.256573141,      -2.955555245
          0,           0,         291,      -8.977212724,      -6.887601487,      -7.252106993,      -2.953613613
          0,           0,         292,      -8.977279448,      -6.898348388,      -7.250183214,      -2.953683261
          0,           0,         293,      -8.979377208,      -6.908203115,      -7.250737637,      -2.955784182
          0,           0,         294,      -8.983505536,        -6.9172249,       -7.25371365,      -2.959915851
          0,           0,         295,      -8.989660094,       -6.92550558,      -7.259065089,      -2.966073898
          0,           0,         296,      -8.997832651,      -6.933158896,      -7.266757189,      -2.974250104
          0,           0,         297,      -9.008018888,      -6.940314513,      -7.276768074,      -2.984440137
          0,           0,         298,      -9.020217371,        -6.9471126,      -7.289089461,      -2.996642563
          0,           0,         299,      -9.034427634,      -6.953693604,      -7.303726002,      -3.010856926
          0,           0,         300,      -9.050655387,      -6.960199103,       -7.32069637,      -3.027088941
          0,           0,         301,      -9.068908786,      -6.966764623,      -7.340031874,      -3.045346782
          0,           0,         302,       -9.08918991,      -6.973508457,      -7.361776115,       -3.06563255
          0,           0,         303,      -9.111504379,      -6.980546029,      -7.385982502,      -3.087951869
          0,           0,         304,      -9.135848291,      -6.987977082,      -7.412712955,      -3.112300858
          0,           0,         305,      -9.162184265,      -6.995867687,      -7.442033529,      -3.138642096
          0,           0,         306,      -9.190488001,      -7.004317318,      -7.474003046,      -3.166951306
          0,           0,         307,      -9.220617899,      -7.013333115,      -7.508660251,      -3.197086719
          0,           0,         308,      -9.252454167,      -7.023013062,      -7.545990671,      -3.228928552
          0,           0,         309,      -9.285686913,      -7.033349939,      -7.585890564,      -3.262166622
          0,           0,         310,       -9.31992727,      -7.044392918,      -7.628090311,      -3.296411855
          0,           0,         311,       -9.35450546,      -7.056111446,      -7.672044837,      -3.330993882
          0,           0,         312,      -9.388568324,      -7.068520311,      -7.716763743,      -3.365058918
          0,           0,         313,      -9.420972889,      -7.081610227,      -7.760621087,      -3.397463274
          0,           0,         314,      -9.450356209,      -7.095373425,      -7.801195098,      -3.426843441
          0,           0,         315,      -9.475071578,      -7.109693568,      -7.835358367,      -3.451551686
          0,           0,         316,      -9.494004802,      -7.124629604,      -7.859848736,      -3.470474545
          0,           0,         317,      -9.506162101,      -7.140034958,      -7.872426497,        -3.4826188
